Name,Category,Subcategory,Pricing floor (USD/mo),Pricing model,Integrations,Free tier,Aiprosol verdict,Gotchas,Verdict tier
ChatGPT,Conversational AI,Consumer chat,0,freemium-$20/mo,80,Yes,Default for general assistance. Best quality below $30/mo.,Memory features still inconsistent.,
Claude,Conversational AI,Consumer chat,0,freemium-$20/mo,50,Yes,"Best for long-context reading, careful analysis, writing.",Free tier rate-limits frustrate power users.,
Gemini,Conversational AI,Consumer chat,0,freemium-$20/mo,60,Yes,Strong for Google ecosystem integration; weaker for code.,Hallucinates more than peers in benchmarks.,
Perplexity,Conversational AI,Search-aware chat,0,freemium-$20/mo,20,Yes,Best for research questions needing citations.,Less good for pure reasoning vs ChatGPT/Claude.,
Poe,Conversational AI,Multi-model,0,freemium-$20/mo,0,Yes,Switch between 20+ models in one UI.,No automation/API tier.,
Cohere Coral,Conversational AI,Enterprise chat,0,$0.50/M tokens,30,No,Stronger guardrails for regulated industries.,Smaller community + tooling.,
Anthropic API,Conversational AI,API access,0,$0.25-15/M tokens,0,No,Best for production apps needing high quality + safety.,Cost can blow up on long contexts.,
OpenAI API,Conversational AI,API access,0,$0.15-15/M tokens,0,No,Industry default API; best tooling ecosystem.,Rate limits trip at scale.,
Replicate,Conversational AI,Model hosting,0,pay-per-second,0,No,Run any open-source model on demand.,Cold starts; not for latency-sensitive.,
Together AI,Conversational AI,Model hosting,0,$0.20-3/M tokens,0,No,Cheaper inference for open-source LLMs.,Less mature than OpenAI API tooling.,
Claude Code,Code generation,Agentic CLI,0,API-based,0,No,"Aiprosol's pick for production. Reads codebases, writes commits.",Requires Anthropic API key. CLI-only.,Aiprosol pick
Cursor,Code generation,IDE,0,$20/mo,0,Yes,VS Code fork with deep AI integration. Best multi-line edits.,Subscription locks Claude/GPT model selection.,
Windsurf,Code generation,IDE,0,$15/mo,0,Yes,Cleaner UI than Cursor. Codeium underneath.,Smaller plugin ecosystem.,
GitHub Copilot,Code generation,IDE plugin,10,$10-19/mo,0,No,Best for autocomplete within existing IDE workflows.,Weaker on multi-file edits vs Cursor.,
Codeium,Code generation,IDE plugin,0,free / $12/mo enterprise,0,Yes,Free tier for individuals. Good enough autocomplete.,Quality slightly below Copilot.,
Tabnine,Code generation,IDE plugin,0,free / $12/mo pro,0,Yes,On-prem option for security-sensitive teams.,Quality lower than newer entrants.,
Replit Agent,Code generation,Web IDE,0,freemium-$25/mo,0,Yes,Best for prototype-from-scratch in browser.,Doesn't fit existing-repo workflows.,
v0 (Vercel),Code generation,UI generation,0,$20/mo,0,Yes,Generate React + Tailwind UI from a prompt. Aiprosol uses it.,Output needs cleanup before prod.,Aiprosol pick
Midjourney,Image gen,General,10,$10-120/mo,0,No,Best aesthetic quality. Strong community.,Discord interface; no API until v6.1.,
DALL-E 3,Image gen,General,0,via ChatGPT Plus or API,50,Yes,Best prompt-following for descriptive prompts.,Limited style control vs Midjourney.,
Stable Diffusion 3,Image gen,Open source,0,self-host / API,0,Yes,Run locally; full control; open weights.,Setup overhead for non-engineers.,
Flux,Image gen,Open source,0,API or self-host,0,Yes,New leader in photoreal output (2025).,Less ecosystem than SD3.,
Ideogram,Image gen,Text rendering,0,$8-20/mo,0,Yes,"Best at rendering text inside images (logos, posters).",Weaker at photoreal humans.,
Recraft,Image gen,Design assets,0,$10-30/mo,0,Yes,Strong for vector/SVG output.,Newer; smaller community.,
Adobe Firefly,Image gen,Commercial-safe,0,via Creative Cloud,0,Yes,Commercially safe training data. Strong for brand work.,Inside Adobe; pricier overall.,
Krea,Image gen,Real-time,0,$10-60/mo,0,Yes,Real-time generation for iteration.,Pricing tiers gate quality.,
Runway Gen-3,Video gen,General,12,$12-95/mo,0,Yes,Most mature video gen platform.,Generations are short (10s) and expensive.,
Pika,Video gen,General,0,$10-58/mo,0,Yes,Strong for stylised motion.,Less photoreal than Runway.,
Luma Dream Machine,Video gen,General,0,$10-50/mo,0,Yes,Best for character consistency.,Slower generation queue.,
Synthesia,Video gen,Avatar/talking head,22,$22-95/mo,5,No,Best for talking-head training videos.,Avatars look uncanny in close-up.,
HeyGen,Video gen,Avatar/talking head,24,$24-89/mo,5,Yes,Faster + cheaper than Synthesia. Real-time avatar streams.,Voice cloning has audible artifacts.,
ElevenLabs,Voice/audio,Voice cloning,0,$5-330/mo,5,Yes,Best voice quality + multilingual.,Voice cloning requires opt-in.,
Whisper API,Voice/audio,Transcription,0,$0.006/min,0,No,Default for transcription. Aiprosol uses it.,Slower than purpose-built services for live.,Aiprosol pick
AssemblyAI,Voice/audio,Transcription + analytics,0,$0.37/hr,5,No,"Adds speaker diarization, summary, sentiment.",Pricier than Whisper if you don't need extras.,
Deepgram,Voice/audio,Real-time transcription,0,$0.0036/min,5,No,Lowest latency for live streams.,Quality slightly below Whisper for non-English.,
Resemble,Voice/audio,Voice cloning,0,$30/mo,0,Yes,Enterprise voice cloning with detection.,More setup than ElevenLabs.,
Suno,Voice/audio,Music gen,0,$8-30/mo,0,Yes,Generate full songs from prompts.,Commercial use unclear; check ToS.,
Notion AI,Knowledge base,RAG,8,$8-15/mo,50,No,Best if you already use Notion. Cross-page Q&A.,Less control than dedicated RAG.,
Glean,Knowledge base,Enterprise RAG,0,$25-30/user/mo,100,No,Enterprise knowledge search across all SaaS.,Long enterprise sales cycle.,
Vectara,Knowledge base,API,0,$0-1k+/mo,0,Yes,RAG-as-a-service with grounded generation.,Quality lags purpose-built solutions.,
Pinecone,Knowledge base,Vector DB,0,$70+/mo,0,Yes,Production vector DB. Industry default.,Costs scale with embeddings stored.,
Chroma,Knowledge base,Vector DB,0,self-host,0,Yes,Open-source vector DB. Run anywhere.,Smaller community vs Pinecone.,
Weaviate,Knowledge base,Vector DB,0,self-host / cloud,0,Yes,Hybrid keyword + vector search.,More complex setup than Pinecone.,
Mem,Knowledge base,Personal,0,$8-20/mo,0,Yes,AI-organised personal memory.,Less mature than Notion.,
Reflect,Knowledge base,Personal,0,$8/mo,0,Yes,Backlink-based note-taking with AI.,Less feature-rich vs Obsidian.,
n8n,No-code automation,Open source,0,self-host free / $20+/mo cloud,400,Yes,Aiprosol's primary. Self-host; no per-task limits.,Steeper learning curve than Zapier.,Aiprosol pick
Zapier,No-code automation,Cloud,20,$20-799/mo,6000,Yes,Most integrations. Fastest to value.,Cost balloons; per-task pricing.,
Make.com,No-code automation,Cloud,9,$9-29+/mo,2000,Yes,Best visual editor; more powerful than Zapier.,Smaller integration count.,
Pipedream,No-code automation,Code+nocode hybrid,0,$19+/mo,2500,Yes,Best when you need code escape hatch.,Less polished UX than Zapier.,
