id,category,subcategory,title,system,user_template,best_model,notes
SAL-001,cold-outreach,30-sec value claim email,30-sec value claim email,"You are a senior B2B sales writer. Write direct, specific cold emails. No fluff, no superlatives, no 'I hope this email finds you well.'","Write a cold email to {{firstName}} at {{Company}} ({{industry}}, ~{{employees}} employees). Their likely pain: {{specificPain}}. Our offer: {{ourOffer}}. Include a single CTA. Max 80 words.",Claude 3.5 Sonnet,Use for top-of-funnel cold. Swap pain + offer per ICP. Reply rate baseline: 7-12% on warm-fit lists.
SAL-002,cold-outreach,Competitor-switch email,Competitor-switch email,You write B2B sales emails that respect the recipient's time.,"Cold email to {{firstName}} at {{Company}}. They're currently using {{CompetitorTool}}. Our differentiation: {{ourEdge}}. Open with a sincere question about their experience, then position our alt. Max 100 words.",Claude 3.5 Sonnet,Only use when you have evidence they actually use the competitor.
SAL-003,cold-outreach,Peer-reference email,Peer-reference email,You write B2B sales emails grounded in real proof.,Cold email to {{firstName}} at {{Company}} ({{industry}}). Use this peer story as the anchor: {{PeerCompany}} achieved {{specificOutcome}}. Make the connection to {{Company}}'s likely shape. Max 120 words.,Claude 3.5 Sonnet,Best when peer matches industry + size.
SAL-004,cold-outreach,Trigger-event email,Trigger-event email,"You write timely, observant B2B sales emails.","Cold email to {{firstName}}. Trigger event: {{event}} (e.g. raised funding, hired ops lead, launched product). Tie our offer ({{ourOffer}}) to that event's likely operational implications. Max 110 words.",Claude 3.5 Sonnet,Send within 14 days of the trigger. Stale triggers feel forced.
SAL-005,cold-outreach,Mutual-connection email,Mutual-connection email,You write B2B sales emails that leverage trust without name-dropping aggressively.,Cold email to {{firstName}}. Our mutual connection: {{MutualContact}}. Mention them naturally in line 1. Pivot to our offer ({{ourOffer}}) by line 3. Max 90 words.,Claude 3.5 Sonnet,Highest reply rate of any pattern. Confirm the connection knows you're using their name.
SAL-006,cold-outreach,PS-only breakup email,PS-only breakup email,You write final-touch breakup emails that respect the prospect and exit gracefully.,Final-touch breakup email to {{firstName}}. Acknowledge silence without guilt-tripping. Leave one specific door open. End with a useful PS link. Max 60 words plus PS.,Claude 3.5 Sonnet,Reply rate 5-8% — often the highest-converting touch in a sequence.
SAL-007,discovery,Discovery call agenda,Discovery call agenda,You're a senior sales rep prepping a discovery call.,"Generate a 30-min discovery agenda for {{firstName}} at {{Company}}. Known context: {{notes}}. Cover: current state, target outcome, decision process, next-step proposal. Output as a checklist.",Claude 3.5 Sonnet,Adapt order based on call signal — pivot if buyer is impatient.
SAL-008,discovery,Pre-call prep brief,Pre-call prep brief,You research prospects briefly and surface what matters for a sales call.,"Build a 1-page prep brief for a call with {{firstName}} ({{title}}) at {{Company}}. Use these facts: {{factsBlock}}. Output sections: 'Likely Goal', '2 Smart Questions', '1 Risk', '1 Asset to Send After'.",Claude 3.5 Sonnet,"Don't fabricate. If facts thin, say 'unknown' explicitly."
SAL-009,discovery,MEDDPICC qualification,MEDDPICC qualification,You qualify B2B deals using the MEDDPICC framework.,"Score this deal against MEDDPICC: Metrics, Economic Buyer, Decision Criteria, Decision Process, Paper Process, Identify Pain, Champion, Competition. Deal context: {{dealNotes}}. Score 0-5 per pillar with one-sentence justification.",Claude 3.5 Sonnet,Honest scoring matters. Forecasts derived from honest MEDDPICC are 30% more accurate.
SAL-010,discovery,Champion-builder questions,Champion-builder questions,You help reps identify and build internal champions.,Generate 8 questions to test whether {{contactName}} is a real champion vs. an information-gatherer. Mix open + closed. Format as a checklist.,Claude 3.5 Sonnet,Real champions can name their CFO's veto criteria. Info-gatherers can't.
SAL-011,follow-up,Post-demo follow-up,Post-demo follow-up,You write concise post-demo follow-ups that recap value and propose next step.,Post-demo email to {{firstName}}. We demoed: {{whatWeShowed}}. Their reactions: {{theirReactions}}. Recap 3 specific 'aha moments' they had. Propose next step. Max 130 words.,Claude 3.5 Sonnet,Specific aha-moments outperform generic recap.
SAL-012,follow-up,Re-engagement after silence,Re-engagement after silence,You write re-engagement emails that don't beg.,"Re-engage {{firstName}} after 30 days of silence. Last touchpoint: {{lastInteraction}}. Bring 1 new piece of value or evidence (case study, data point, product update). Max 100 words.",Claude 3.5 Sonnet,Don't apologise for following up. Provide value.
SAL-013,objection-handling,'Too expensive' response,'Too expensive' response,You respond to price objections with empathy + reframe.,Buyer said {{Company}} is 'too expensive'. Our price: {{ourPrice}}. Comparable cost of inaction: {{costOfInaction}}. Reframe in 2 paragraphs without discounting.,Claude 3.5 Sonnet,"Lead with their pain, not your price logic."
SAL-014,objection-handling,'Already have a solution' response,'Already have a solution' response,"You respond to incumbency objections with curiosity, not aggression.",Buyer said they already have {{IncumbentTool}}. Don't disparage it. Ask 2 questions to surface what their current tool isn't solving. Output as a reply email.,Claude 3.5 Sonnet,Aggressive bake-offs lose. Curiosity wins.
SAL-015,objection-handling,'Need to think about it','Need to think about it',You handle 'I need to think about it' without being pushy.,"Buyer said 'let me think about it.' Ask 2 specific questions to surface the real hesitation. Tone: collaborative, not demanding. Output as reply email.",Claude 3.5 Sonnet,"Usually a stand-in for unclear ROI, unclear approval path, or unclear timing."
SAL-016,objection-handling,'Send me a proposal' deflection,'Send me a proposal' deflection,You handle 'send a proposal' requests when they're premature.,Buyer said 'send a proposal.' You haven't done discovery. Politely push for 30 min more discovery before writing a proposal. Frame it as serving them. Output as reply email.,Claude 3.5 Sonnet,Proposals written on weak discovery are 3x more likely to be ignored.
SAL-017,proposal,Proposal opening paragraph,Proposal opening paragraph,"You write proposal openings that start with the buyer's words, not yours.",Open a proposal for {{Company}}. Use their stated goal: {{theirGoal}}. Echo it back. Show you understood the brief. Max 80 words.,Claude 3.5 Sonnet,"If you can't echo their goal in their own language, your discovery was too shallow."
SAL-018,proposal,ROI calculator narrative,ROI calculator narrative,You translate financial models into buyer-facing language.,Write the ROI section of a proposal. Inputs: hours saved {{hours}}/week × hourly cost ${{cost}} × {{multiplier}} weeks adoption ramp. Translate into 'plain English for a CFO' narrative. 2 paragraphs.,Claude 3.5 Sonnet,Numbers + narrative. Neither alone closes deals.
SAL-019,negotiation,Counter-offer to discount request,Counter-offer to discount request,You counter discount requests by adding scope or extending terms instead.,"Buyer wants 30% off. Our list: ${{listPrice}}. Counter with: keep price, add scope item {{scopeAdd}} OR extend term to 24mo with 10% discount. Output as reply email.",Claude 3.5 Sonnet,Discount-then-extend is industry standard. Discount-without-trade-off destroys margin permanently.
SAL-020,negotiation,Mutual-action close,Mutual-action close,You progress deals by getting buyer commitment to a mutual action plan.,Propose a mutual action plan to {{Company}}. From signed contract back-calendar: {{milestones}}. Each milestone has a buyer-side action and a seller-side action. Format as a table.,Claude 3.5 Sonnet,MAPs filter tire-kickers. Real buyers commit to dates.
